n bits ylog
600 100 1.90937
600 20 1.70706
600 30 1.99562
600 40 1.66125
600 50 2.32813
600 60 1.81354
600 70 1.79487
600 80 2.09679
600 90 2.06464
800 100 1.73454
800 20 1.80873
800 30 2.14771
800 40 1.85498
800 50 1.91958
800 60 1.89603
800 70 2.21408
800 80 1.88983
800 90 1.98859
1000 100 1.74316
1000 20 2.00112
1000 30 1.90583
1000 40 1.62335
1000 50 1.8875
1000 60 2.03089
1000 70 1.73537
1000 80 1.82767
1000 90 1.77326
1200 100 1.91782
1200 20 1.7258
1200 30 1.72412
1200 40 2.0207
1200 50 1.81565
1200 60 1.8104
1200 70 1.84349
1200 80 1.90776
1200 90 2.20155
1400 100 1.7432
1400 20 1.87584
1400 30 1.76307
1400 40 1.96054
1400 50 1.85779
1400 60 1.7729
1400 70 1.86607
1400 80 1.84263
1400 90 1.9741
1600 100 1.79997
1600 20 1.84378
1600 30 1.80001
1600 40 1.93087
1600 50 1.9826
1600 60 1.68648
1600 70 1.805
1600 80 2.12486
1600 90 2.06647
1800 100 2.1929
1800 20 1.8463
1800 30 1.85709
1800 40 1.8511
1800 50 1.8763
1800 60 2.00727
1800 70 2.111
1800 80 1.89898
1800 90 1.85189
2000 100 2.05088
2000 20 1.84144
2000 30 1.95301
2000 40 2.10171
2000 50 1.78993
2000 60 2.22481
2000 70 2.7319
2000 80 2.14305
2000 90 1.83089
2200 100 1.96011
2200 20 1.83867
2200 30 1.8563
2200 40 1.86813
2200 50 1.82747
2200 60 2.03143
2200 70 1.94549
2200 80 2.06295
2200 90 1.84217
2400 100 1.83478
2400 20 1.86765
2400 30 1.7525
2400 40 1.74557
2400 50 2.04296
2400 60 2.01307
2400 70 1.82872
2400 80 2.18439
2400 90 2.02399
2600 100 2.07923
2600 20 1.85691
2600 30 1.88082
2600 40 1.82451
2600 50 2.02801
2600 60 1.78163
2600 70 2.09064
2600 80 2.20245
2600 90 1.82133
2800 100 2.02832
2800 20 1.72276
2800 30 1.80257
2800 40 1.88104
2800 50 1.95571
2800 60 1.82576
2800 70 1.82888
2800 80 2.44644
2800 90 2.16197
3000 100 2.13166
3000 20 1.78455
3000 30 2.2756
3000 40 1.80653
3000 50 1.98039
3000 60 1.8565
3000 70 1.92464
3000 80 1.92977
3000 90 2.01249
3200 100 1.81871
3200 20 1.78972
3200 30 2.39101
3200 40 1.94961
3200 50 2.19101
3200 60 1.90116
3200 70 2.0585
3200 80 1.91245
3200 90 1.98586
3400 100 2.03714
3400 20 1.87591
3400 30 2.14213
3400 40 1.89031
3400 50 1.89125
3400 60 1.79495
3400 70 1.81368
3400 80 2.0049
3400 90 1.88257
3600 100 1.74492
3600 20 1.81088
3600 30 2.06676
3600 40 1.92355
3600 50 1.87991
3600 60 1.85814
3600 70 1.9773
3600 80 2.23303
3600 90 1.91088
3800 100 1.76022
3800 20 1.75251
3800 30 2.08561
3800 40 1.85335
3800 50 1.87081
3800 60 1.82389
3800 70 1.95165
3800 80 2.07097
3800 90 1.95098
4000 100 2.00636
4000 20 1.78065
4000 30 2.3952
4000 40 1.78863
4000 50 1.81149
4000 60 1.89603
4000 70 2.12916
4000 80 2.59963
4000 90 2.0408
4200 100 1.86146
4200 20 1.83769
4200 30 1.91018
4200 40 2.49399
4200 50 2.205
4200 60 2.04253
4200 70 2.13094
4200 80 1.97047
4200 90 1.84933
4400 100 2.00305
4400 20 1.72942
4400 30 2.09716
4400 40 2.22089
4400 50 1.81293
4400 60 2.21424
4400 70 1.91691
4400 80 1.77988
4400 90 1.91662
4600 100 1.91115
4600 20 1.78835
4600 30 1.86922
4600 40 1.81867
4600 50 2.1583
4600 60 2.13355
4600 70 1.99042
4600 80 1.97338
4600 90 2.18272
4800 100 1.81222
4800 20 1.79037
4800 30 2.01664
4800 40 1.79722
4800 50 2.02241
4800 60 1.95817
4800 70 2.18991
4800 80 2.00817
4800 90 1.94657
5000 100 1.91608
5000 20 1.78146
5000 30 1.79635
5000 40 1.82734
5000 50 2.17876
5000 60 1.80226
5000 70 2.3542
5000 80 1.90863
5000 90 1.83698
600 20 2.04635
600 30 1.79749
600 40 1.928
600 50 1.95429
600 60 1.84529
800 20 2.01236
800 30 2.09694
800 40 2.27038
800 50 1.99065
800 60 2.37202
1000 20 2.0541
1000 30 1.81774
1000 40 1.89517
1000 50 1.91847
1000 60 1.91593
1200 20 1.79949
1200 30 2.4596
1200 40 1.96172
1200 50 2.18212
1200 60 2.06103
1400 20 1.85581
1400 30 1.78543
1400 40 1.85097
1400 50 1.7978
1400 60 1.86908
1600 20 1.72213
1600 30 1.93104
1600 40 1.89683
1600 50 2.34785
1600 60 1.81834
1800 20 2.02025
1800 30 1.86744
1800 40 2.26877
1800 50 2.0703
1800 60 2.01916
2000 20 1.96725
2000 30 1.87491
2000 40 2.44477
2000 50 1.88335
2000 60 1.94664
2200 20 1.75256
2200 30 2.00696
2200 40 2.00605
2200 50 1.81502
2200 60 2.43472
2400 20 1.8893
2400 30 2.08898
2400 40 2.39836
2400 50 1.76374
2400 60 2.06309
2600 20 1.94324
2600 30 1.9064
2600 40 2.06249
2600 50 2.16711
2600 60 1.92561
2800 20 1.84996
2800 30 1.77537
2800 40 1.87099
2800 50 2.04307
2800 60 1.93299
3000 20 1.76205
3000 30 2.14311
3000 40 1.99439
3000 50 2.16268
3000 60 1.83892
3200 20 1.81728
3200 30 1.83643
3200 40 1.82552
3200 50 1.96694
3200 60 1.96537
3400 20 1.82856
3400 30 2.13896
3400 40 1.86973
3400 50 1.98099
3400 60 1.96067
3600 20 1.80711
3600 30 1.92496
3600 40 1.8893
3600 50 2.00784
3600 60 1.81403
3800 20 1.81777
3800 30 1.93964
3800 40 1.86431
3800 50 1.91561
3800 60 1.8151
4000 20 1.77226
4000 30 1.91054
4000 40 2.20744
4000 50 2.00854
4200 20 1.80885
4200 30 2.0151
4200 40 2.03079
4200 50 1.89359
4400 20 1.80412
4400 30 1.73195
4400 40 2.02795
4400 50 1.87913
4600 20 1.78229
4600 30 1.8708
4600 40 2.17096
4600 50 1.83186
4800 20 1.80058
4800 30 2.07596
4800 40 1.88966
4800 50 1.88714
5000 20 1.76323
5000 30 1.84138
5000 40 2.02231
5000 50 2.025
60 20 1.51925
60 30 1.50958
60 40 1.66054
60 50 1.4742
60 60 1.49682
60 70 1.46989
60 80 1.54907
60 90 1.42043
60 100 1.54675
95 20 1.61769
95 30 1.65128
95 40 1.60242
95 50 1.54139
95 60 1.57457
95 70 1.61675
95 80 1.60261
95 90 1.50468
95 100 1.72996
147 20 1.66305
147 30 1.55789
147 40 1.63273
147 50 1.79512
147 60 1.64803
147 70 1.70584
147 80 1.66601
147 90 1.6547
147 100 1.65384
225 20 1.87332
