n bits err time time_gold
600 100 17.621185 8.349442e+01 9.988692e+01
600 10 13.302278 8.023829e+01 1.001365e+02
600 20 15.754134 8.045297e+01 9.983351e+01
600 30 18.417202 7.998829e+01 1.008237e+02
600 40 15.331362 8.041514e+01 1.000632e+02
600 50 21.485870 8.228210e+01 1.006565e+02
600 60 16.736874 8.424008e+01 1.005254e+02
600 70 16.564541 8.332616e+01 1.004833e+02
600 80 19.350897 9.880732e+01 1.165218e+02
600 90 19.054190 8.393953e+01 1.007495e+02
800 100 16.727612 2.237875e+02 2.731692e+02
800 10 13.669670 1.952464e+02 2.457936e+02
800 20 17.443162 1.956747e+02 2.418431e+02
800 30 20.712235 1.942215e+02 2.413286e+02
800 40 17.889163 2.026074e+02 2.532393e+02
800 50 18.512165 1.977751e+02 2.426712e+02
800 60 18.285013 1.997976e+02 2.419003e+02
800 70 21.352236 2.008223e+02 2.412182e+02
800 80 18.225201 2.060137e+02 2.464120e+02
800 90 19.177687 2.054133e+02 2.444413e+02
1000 100 17.371918 4.011254e+02 4.784802e+02
1000 10 14.122787 3.885191e+02 4.792654e+02
1000 20 19.942736 4.149541e+02 5.071944e+02
1000 30 18.993064 3.884031e+02 4.797725e+02
1000 40 16.177910 3.880211e+02 4.798642e+02
1000 50 18.810384 4.000225e+02 4.837676e+02
1000 60 20.239370 4.040025e+02 4.812268e+02
1000 70 17.294320 4.205186e+02 5.159777e+02
1000 80 18.214155 4.449944e+02 5.395879e+02
1000 90 17.671972 4.053387e+02 4.818625e+02
1200 100 19.617015 6.965314e+02 8.299154e+02
1200 10 14.527570 6.855705e+02 8.327252e+02
1200 20 17.652891 6.805873e+02 8.301751e+02
1200 30 17.635681 6.795920e+02 8.341392e+02
1200 40 20.669357 6.761232e+02 8.329244e+02
1200 50 18.571963 5.913359e+02 7.235367e+02
1200 60 18.518220 7.335058e+02 8.975717e+02
1200 70 18.856714 7.073061e+02 8.414952e+02
1200 80 19.514172 7.113295e+02 8.425905e+02
1200 90 22.519281 7.120983e+02 8.413919e+02
1400 100 18.218511 1.117829e+03 1.334256e+03
1400 10 14.791346 1.091990e+03 1.340655e+03
1400 20 19.604791 1.085809e+03 1.334105e+03
1400 30 18.426238 1.103377e+03 1.346218e+03
1400 40 20.490048 1.091157e+03 1.339594e+03
1400 50 19.416107 1.115157e+03 1.342399e+03
1400 60 18.528969 1.153484e+03 1.348114e+03
1400 70 19.502675 1.131588e+03 1.348384e+03
1400 80 19.257726 1.146630e+03 1.354220e+03
1400 90 20.631722 1.129806e+03 1.339681e+03
1600 100 19.158651 1.696787e+03 2.019955e+03
1600 10 15.333376 1.634615e+03 2.008184e+03
1600 20 19.624918 1.640559e+03 2.012234e+03
1600 30 19.159038 1.650158e+03 2.025441e+03
1600 40 20.551870 1.661178e+03 2.021283e+03
1600 50 21.102539 1.694487e+03 2.033605e+03
1600 60 17.950667 1.674995e+03 2.005463e+03
1600 70 19.212152 1.751916e+03 2.068261e+03
1600 80 22.616704 1.698826e+03 2.021478e+03
1600 90 21.995217 1.685992e+03 2.053253e+03
1800 100 23.713522 2.385723e+03 2.843195e+03
1800 10 15.214443 2.316257e+03 2.843218e+03
1800 20 19.965520 2.363384e+03 2.875154e+03
1800 30 20.082130 2.321477e+03 2.852708e+03
1800 40 20.017350 1.997930e+03 2.458687e+03
1800 50 20.289907 2.348525e+03 2.850124e+03
1800 60 21.706165 2.396751e+03 2.868476e+03
1800 70 22.827920 2.478044e+03 2.917915e+03
1800 80 20.535133 2.462648e+03 2.918728e+03
1800 90 20.025941 2.382688e+03 2.848411e+03
2000 100 22.489495 3.334546e+03 3.948594e+03
2000 10 16.267489 3.275622e+03 3.992296e+03
2000 20 20.192847 3.492329e+03 4.294392e+03
2000 30 21.416261 3.251083e+03 3.970019e+03
2000 40 23.046924 3.233958e+03 3.958746e+03
2000 50 19.627979 3.289080e+03 3.960731e+03
2000 60 24.396829 3.322325e+03 3.951686e+03
2000 70 29.957399 3.326622e+03 3.944253e+03
2000 80 23.500237 3.468039e+03 3.977127e+03
2000 90 20.077183 3.516739e+03 4.266464e+03
2200 100 21.763695 4.442458e+03 5.280167e+03
2200 10 16.291926 4.401292e+03 5.372858e+03
2200 20 20.415294 4.329328e+03 5.305117e+03
2200 30 20.611063 4.408796e+03 5.346333e+03
2200 40 20.742349 4.300848e+03 5.281995e+03
2200 50 20.290964 4.399601e+03 5.341075e+03
2200 60 22.555547 4.526744e+03 5.329881e+03
2200 70 21.601371 4.918156e+03 5.921414e+03
2200 80 22.905478 4.445606e+03 5.286613e+03
2200 90 20.454175 4.544612e+03 5.318158e+03
2400 100 20.602422 5.823343e+03 6.913749e+03
2400 10 16.726320 5.638666e+03 6.900449e+03
2400 20 20.971526 5.708774e+03 6.901331e+03
2400 30 19.678491 5.670774e+03 6.936619e+03
2400 40 19.600725 5.662919e+03 6.911235e+03
2400 50 22.940048 5.711242e+03 6.886328e+03
2400 60 22.604417 5.755691e+03 6.870127e+03
2400 70 20.534314 6.245206e+03 7.491174e+03
2400 80 24.528148 5.905106e+03 6.950324e+03
2400 90 22.726997 5.936508e+03 6.955443e+03
2600 100 23.587374 7.315186e+03 8.669086e+03
2600 10 16.984802 7.907729e+03 9.148518e+03
2600 20 21.065368 7.059774e+03 8.640125e+03
2600 30 21.336530 7.199349e+03 8.867868e+03
2600 40 20.697796 7.243789e+03 8.753332e+03
2600 50 23.006384 7.237688e+03 8.728651e+03
2600 60 20.211301 7.250409e+03 8.683972e+03
2600 70 23.716866 7.432102e+03 8.743491e+03
2600 80 24.985234 8.529665e+03 9.995936e+03
2600 90 20.661663 7.688582e+03 9.334868e+03
2800 100 23.226695 9.483008e+03 1.113376e+04
2800 10 17.123885 9.157802e+03 1.110266e+04
2800 20 19.727653 8.973802e+03 1.111700e+04
2800 30 20.641623 9.083366e+03 1.106496e+04
2800 40 21.540211 7.691239e+03 9.334055e+03
2800 50 22.395240 9.507840e+03 1.124640e+04
2800 60 20.907194 9.305105e+03 1.106579e+04
2800 70 20.942933 9.231337e+03 1.096084e+04
2800 80 28.014667 9.483593e+03 1.111706e+04
2800 90 24.757155 9.266545e+03 1.101927e+04
3000 100 24.622254 1.162798e+04 1.368509e+04
3000 10 17.101382 1.178390e+04 1.468812e+04
3000 20 20.612853 1.112668e+04 1.357410e+04
3000 30 26.284934 1.105423e+04 1.352813e+04
3000 40 20.866793 1.105135e+04 1.350324e+04
3000 50 22.875025 1.131853e+04 1.359603e+04
3000 60 21.444019 1.159632e+04 1.371001e+04
3000 70 22.231042 1.151533e+04 1.360107e+04
3000 80 22.290286 1.151944e+04 1.364141e+04
3000 90 23.245804 1.164217e+04 1.366354e+04
3200 100 21.176844 1.411536e+04 1.658010e+04
3200 10 17.606715 1.434460e+04 1.776965e+04
3200 20 20.839255 1.148764e+04 1.398121e+04
3200 30 27.840571 1.150532e+04 1.399346e+04
3200 40 22.700995 1.367474e+04 1.644638e+04
3200 50 25.511797 1.156597e+04 1.394948e+04
3200 60 22.136797 1.392199e+04 1.654187e+04
3200 70 23.968827 1.415381e+04 1.651552e+04
3200 80 22.268292 1.387893e+04 1.637764e+04
3200 90 23.123029 1.532306e+04 1.834213e+04
3400 100 23.898320 1.790476e+04 2.140324e+04
3400 10 18.069915 1.641635e+04 1.986312e+04
3400 20 22.006933 1.630972e+04 1.990832e+04
3400 30 25.129980 1.791533e+04 2.212947e+04
3400 40 22.175880 1.613213e+04 1.982866e+04
3400 50 22.186809 1.663615e+04 1.997403e+04
3400 60 21.057175 1.658093e+04 2.014092e+04
3400 70 21.276911 1.701760e+04 2.005174e+04
3400 80 23.520067 1.776797e+04 2.073766e+04
3400 90 22.085038 1.669762e+04 1.974006e+04
3600 100 20.614102 1.695366e+04 1.987902e+04
3600 10 18.377731 1.913627e+04 2.341733e+04
3600 20 21.393294 1.937904e+04 2.365412e+04
3600 30 24.416250 1.958597e+04 2.370313e+04
3600 40 22.724398 1.964474e+04 2.366895e+04
3600 50 22.208836 1.957493e+04 2.358521e+04
3600 60 21.951638 1.968769e+04 2.344271e+04
3600 70 23.359340 1.984167e+04 2.347063e+04
3600 80 26.380498 1.993383e+04 2.363077e+04
3600 90 22.574691 2.016276e+04 2.367719e+04
3800 100 20.932128 2.342036e+04 2.789362e+04
3800 10 18.659982 2.322223e+04 2.798760e+04
3800 20 20.840498 2.304151e+04 2.771956e+04
3800 30 24.801665 1.942982e+04 2.363106e+04
3800 40 22.039657 2.274933e+04 2.760745e+04
3800 50 22.247222 2.306965e+04 2.756768e+04
3800 60 21.689278 2.633536e+04 3.084599e+04
3800 70 23.208549 2.004210e+04 2.360392e+04
3800 80 24.627486 2.374108e+04 2.772268e+04
3800 90 23.200691 2.356364e+04 2.782152e+04
4000 100 24.007633 2.737498e+04 3.232973e+04
4000 10 18.973284 2.632645e+04 3.222276e+04
4000 20 21.306916 2.633638e+04 3.223227e+04
4000 30 28.660419 2.259113e+04 2.735139e+04
4000 40 21.402349 2.690675e+04 3.260340e+04
4000 50 21.675936 2.675142e+04 3.226711e+04
4000 60 22.687545 2.858135e+04 3.499620e+04
4000 70 25.477011 2.719267e+04 3.254147e+04
4000 80 31.106615 2.792602e+04 3.260955e+04
4000 90 24.419797 2.719603e+04 3.222491e+04
4200 100 22.404797 3.579062e+04 4.135109e+04
4200 10 19.163846 3.490141e+04 4.141126e+04
4200 20 22.118706 3.433782e+04 4.109647e+04
4200 30 22.991242 3.558546e+04 4.182755e+04
4200 40 30.018125 3.447318e+04 4.123354e+04
4200 50 26.539784 3.547361e+04 4.120342e+04
4200 60 24.584200 3.504797e+04 4.101017e+04
4200 70 25.648305 3.517092e+04 4.117158e+04
4200 80 23.716875 3.541522e+04 4.139714e+04
4200 90 22.258911 3.524018e+04 4.101447e+04
4400 100 24.243432 4.088187e+04 4.749633e+04
4400 10 19.456650 4.094514e+04 4.945744e+04
4400 20 20.931696 4.093029e+04 4.939970e+04
4400 30 25.382549 4.004931e+04 4.786429e+04
4400 40 26.880044 3.983432e+04 4.776059e+04
4400 50 21.942401 4.108509e+04 4.802186e+04
4400 60 26.799530 4.096851e+04 4.801640e+04
4400 70 23.200862 4.327068e+04 5.128184e+04
4400 80 21.542362 4.083269e+04 4.741741e+04
4400 90 23.197434 4.123180e+04 4.790732e+04
4600 100 23.253800 4.928389e+04 5.835536e+04
4600 10 19.548923 4.642837e+04 5.488479e+04
4600 20 21.759567 4.604087e+04 5.492748e+04
4600 30 22.743634 4.778890e+04 5.533184e+04
4600 40 22.128484 3.714882e+04 4.540620e+04
4600 50 26.260909 4.647894e+04 5.452136e+04
4600 60 25.959849 4.676215e+04 5.539675e+04
4600 70 24.218331 4.728122e+04 5.472333e+04
4600 80 24.010932 4.706618e+04 5.458893e+04
4600 90 26.558079 4.979049e+04 5.940622e+04
4800 100 22.161250 5.455637e+04 6.266671e+04
4800 10 19.690958 5.367984e+04 6.306434e+04
4800 20 21.894085 5.369020e+04 6.342112e+04
4800 30 24.661132 5.273224e+04 6.296513e+04
4800 40 21.977862 4.203535e+04 5.166674e+04
4800 50 24.731650 5.438031e+04 6.369351e+04
4800 60 23.946160 5.455529e+04 6.360120e+04
4800 70 26.779983 5.517515e+04 6.326990e+04
4800 80 24.557508 5.473557e+04 6.322973e+04
4800 90 23.804263 5.577086e+04 6.415314e+04
5000 100 23.544269 6.767073e+04 7.932595e+04
5000 10 19.926223 6.305449e+04 7.386274e+04
5000 20 21.890079 4.689526e+04 5.661076e+04
5000 30 22.073018 6.351978e+04 7.655986e+04
5000 40 22.453875 6.010586e+04 7.120050e+04
5000 50 26.771980 4.463434e+04 5.005873e+04
5000 60 22.145601 6.373505e+04 7.680487e+04
5000 70 28.927745 6.501271e+04 7.444100e+04
5000 80 23.452724 6.219863e+04 7.141389e+04
5000 90 22.572340 6.235846e+04 7.146860e+04
600 10 13.451415 8.182287e+01 1.003984e+02
600 20 18.885395 8.168152e+01 1.017513e+02
600 30 16.588735 8.151105e+01 1.004378e+02
600 40 17.793197 8.320089e+01 1.020334e+02
600 50 18.035815 8.275617e+01 1.018820e+02
600 60 17.029826 8.363521e+01 1.019259e+02
800 10 13.658586 1.982935e+02 2.431223e+02
800 20 19.406880 2.115133e+02 2.638601e+02
800 30 20.222575 1.966448e+02 2.438693e+02
800 40 21.895259 1.961257e+02 2.427818e+02
800 50 19.197560 2.046196e+02 2.491875e+02
800 60 22.875455 2.058426e+02 2.475580e+02
1000 10 14.595398 3.944154e+02 4.822851e+02
1000 20 20.470673 3.850552e+02 4.767251e+02
1000 30 18.115217 3.962367e+02 4.816541e+02
1000 40 18.886833 4.120510e+02 5.212967e+02
1000 50 19.119057 3.991211e+02 4.884234e+02
1000 60 19.093703 4.015867e+02 4.833173e+02
1200 10 15.001747 7.175467e+02 9.047892e+02
1200 20 18.406669 6.734632e+02 8.301390e+02
1200 30 25.158822 7.256237e+02 8.756553e+02
1200 40 20.066104 7.003284e+02 8.659029e+02
1200 50 22.320486 5.904826e+02 7.228514e+02
